location_id,location_name,source,poll,variable,yoy,yoy_rel,rsquared_testing,rmse_testing
lucknow_ind.34_1_in,Lucknow,cpcb,no2,observed,-10.887708422813532,-0.3520878819549049,0.8354155699498035,7.095306102887272
lucknow_ind.34_1_in,Lucknow,cpcb,no2,trend,-10.442094822242126,-0.3449221323612385,0.8354155699498035,7.095306102887272
ludhiana_ind.28_1_in,Ludhiana,cpcb,no2,observed,0.4438477311690363,0.024051677111211225,0.6167191485371101,6.290978549210469
ludhiana_ind.28_1_in,Ludhiana,cpcb,no2,trend,0.6848744298197964,0.03738007595623738,0.6167191485371101,6.290978549210469
meerut_ind.34_1_in,Meerut,cpcb,no2,observed,-9.81644035992614,-0.26184843363502663,0.8089615190001195,10.253975561677231
meerut_ind.34_1_in,Meerut,cpcb,no2,trend,-7.6446076556195734,-0.21205975050616027,0.8089615190001195,10.253975561677231
mumbai_ind.20_1_in,Mumbai,cpcb,no2,observed,-6.517571920309916,-0.20564728485801612,0.8897764153628213,4.839645991424225
mumbai_ind.20_1_in,Mumbai,cpcb,no2,trend,-2.8967719327301147,-0.10299953126936798,0.8897764153628213,4.839645991424225
muradabad_ind.34_1_in,Muradabad,cpcb,no2,observed,1.1337227857349923,0.07572073730142853,0.9235833489303032,6.949182600647326
muradabad_ind.34_1_in,Muradabad,cpcb,no2,trend,0.9057126865959333,0.060144609811047224,0.9235833489303032,6.949182600647326
muzaffarpur_ind.5_1_in,Muzaffarpur,cpcb,no2,observed,-0.5030616367443415,-0.025304610932951725,0.8690360607675536,8.762827821178881
muzaffarpur_ind.5_1_in,Muzaffarpur,cpcb,no2,trend,-1.050609570196503,-0.05162916106496805,0.8690360607675536,8.762827821178881
nagpur_ind.20_1_in,Nagpur,cpcb,no2,observed,-3.56192344034919,-0.10991006881278904,0.6924831853250389,11.137571706191165
nagpur_ind.20_1_in,Nagpur,cpcb,no2,trend,-0.49289515085344604,-0.016651092801969948,0.6924831853250389,11.137571706191165
noida_ind.34_1_in,Noida,cpcb,no2,observed,16.138769472688665,0.4064072152915418,0.8371587032123398,8.157312295077602
noida_ind.34_1_in,Noida,cpcb,no2,trend,12.824848338330433,0.32604783552098365,0.8371587032123398,8.157312295077602
patiala_ind.28_1_in,Patiala,cpcb,no2,observed,1.0446936571022185,0.048854793713795495,0.7184862926654524,5.951180311200009
patiala_ind.28_1_in,Patiala,cpcb,no2,trend,1.445122869128685,0.06879641051298772,0.7184862926654524,5.951180311200009
rajamahendravaram_ind.2_1_in,Rajamahendravaram,cpcb,no2,observed,5.845572423485136,0.49432114960288653,0.8042513661345442,2.923303924769096
rajamahendravaram_ind.2_1_in,Rajamahendravaram,cpcb,no2,trend,4.677280781133582,0.3750200359852699,0.8042513661345442,2.923303924769096
sagar_ind.19_1_in,Sagar,cpcb,no2,observed,-2.6725394592452663,-0.17356409742524045,0.7475573552116184,2.7800810840718566
sagar_ind.19_1_in,Sagar,cpcb,no2,trend,-1.423492662116237,-0.0973844595010291,0.7475573552116184,2.7800810840718566
solapur_ind.20_1_in,Solapur,cpcb,no2,observed,-2.556844836945217,-0.07360649722576192,0.8719674723665293,7.405904529327831
solapur_ind.20_1_in,Solapur,cpcb,no2,trend,-1.2080900704918918,-0.03626006970516567,0.8719674723665293,7.405904529327831
talcher_ind.26_1_in,Talcher,cpcb,no2,observed,8.577630603837363,0.36308366129032676,0.8124818706750309,8.020339659542463
talcher_ind.26_1_in,Talcher,cpcb,no2,trend,6.829410864820158,0.27846766611310064,0.8124818706750309,8.020339659542463
thane_ind.20_1_in,Thane,cpcb,no2,observed,-15.054941045930683,-0.42089221590222975,0.7428689624577219,15.977851202912246
thane_ind.20_1_in,Thane,cpcb,no2,trend,-10.75328793638958,-0.33590075332289576,0.7428689624577219,15.977851202912246
udaipur_ind.29_1_in,Udaipur,cpcb,no2,observed,13.7857693976372,0.4363728487582597,0.6765264341002069,10.533475065825824
udaipur_ind.29_1_in,Udaipur,cpcb,no2,trend,14.413442560616538,0.4761893798186851,0.6765264341002069,10.533475065825824
varanasi_ind.34_1_in,Varanasi,cpcb,no2,observed,-11.865335614814462,-0.45993652160609544,0.9386855188303278,8.470086333963206
varanasi_ind.34_1_in,Varanasi,cpcb,no2,trend,-11.02464608295161,-0.4404874689063021,0.9386855188303278,8.470086333963206
